City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Kalmunai,LK,79.36,overcast clouds,7.4167,81.8167,VS Villa
504,Marzuq,YE,77.65,scattered clouds,14.4,46.4667,
506,San Policarpo,PH,81.97,overcast clouds,12.1791,125.5072,Agapita M. Nicart
517,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
518,Harindanga,IN,84.54,scattered clouds,22.0383,88.3214,Hasanur Builders
521,Rizhao,CN,76.14,heavy intensity rain,35.4275,119.4553,Novotel Rizhao Suning
522,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
528,Skiathos,GR,79.97,clear sky,39.1623,23.4909,BOURTZI HOTEL
533,Aklavik,CA,77.14,overcast clouds,68.2191,-135.0107,Aklavik Inn
534,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
536,Tongliao,CN,76.3,scattered clouds,43.6125,122.2653,Meirujia Hotel
538,Bucerias,MX,84.97,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
543,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
544,Harper,LR,77.16,moderate rain,4.375,-7.7169,Screensaver
546,Bandarbeyla,SO,77.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
547,Victoria,HK,88.97,broken clouds,22.2855,114.1577,Mini Central
550,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
551,Karaton,ID,76.73,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
554,Nyurba,RU,77.68,broken clouds,63.2842,118.3319,"Гостиница ""Comfort"""
559,Elizabeth City,US,75.22,mist,36.2946,-76.2511,Hampton Inn Elizabeth City
563,Moerai,PF,77.2,overcast clouds,-22.4333,-151.3333,Le Manotel
565,Fereydun Kenar,IR,77.11,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
566,Gorontalo,ID,84.43,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
568,Waingapu,ID,82.0,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
573,Bara,NG,75.56,overcast clouds,10.3744,10.7288,
575,Bozeman,US,81.82,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
576,Emporia,US,80.8,clear sky,38.4039,-96.1817,Days Inn by Wyndham Emporia
584,Burdeos,PH,82.9,moderate rain,14.8436,121.9697,Queen Margarette Hotel Burdeos
586,Biloli,IN,77.31,overcast clouds,18.7667,77.7333,Hotel Santosh
587,Fort Madison,US,84.92,clear sky,40.6298,-91.3151,Kingsley Inn
591,Adrar,MR,89.17,clear sky,20.5022,-10.0711,
593,Bilma,NE,89.91,clear sky,18.6853,12.9164,Expeditions Ténére voyages
594,Qui Nhon,VN,82.29,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
595,Beohari,IN,85.66,broken clouds,24.05,81.3833,Shivanshu tiwari
597,Limbang,MY,78.91,broken clouds,4.75,115.0,Purnama Hotel
598,Hangu,CN,78.84,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
599,Buala,SB,85.06,light rain,-8.145,159.5921,Maringe Lagoon Lodge
601,Sinnamary,GF,77.07,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
609,Gayeri,BF,80.58,overcast clouds,12.6497,0.4931,
610,Corinth,GR,76.41,clear sky,37.9407,22.9573,Ephira Hotel
612,Cayenne,GF,79.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
613,Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
618,Kinablangan,PH,83.48,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
621,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
623,Chernyshevskiy,RU,75.06,overcast clouds,63.0128,112.4714,Chernyseyskiy
624,Talnakh,RU,78.21,clear sky,69.4865,88.3972,Talnakh Hotel
626,Hopelchen,MX,84.69,few clouds,19.7667,-89.85,Hotel Jaguar
630,Pandan,PH,82.63,overcast clouds,14.0453,124.1694,Bonifacio Lodge
633,Jiexiu,CN,83.25,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
634,New Albany,US,78.89,overcast clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
638,Methoni,GR,81.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
639,Havelock,US,80.56,overcast clouds,34.8791,-76.9013,Sherwood Motel
643,Srandakan,ID,80.56,overcast clouds,-7.9386,110.2506,Puri Brata
647,Am Timan,TD,78.35,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
648,Bonfim,BR,76.8,overcast clouds,3.0833,-59.95,
650,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
652,Lahaina,US,84.2,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
